177	(	1
303	)	1
50	+	2
253	,	1
136	-	2
93	.	2
52	/	2
47	00	2
319	000	1
315	02	1
49	05	1
69	0900	2
173	1	1
25	10	1
87	1000	1
282	13	1
109	14	2
200	16	1
287	19	1
264	2	1
21	2010	1
186	2012	1
13	22	1
172	24	1
55	3	2
77	30	1
76	33	1
80	35	1
78	4778030	1
309	5	1
202	50	1
228	520	1
267	6	1
283	6292880	1
272	6716997	1
185	8	1
217	86	1
100	:	2
45	://	2
193	amazon	1
266	archives	1
218	arm	1
91	article	2
249	cl	1
248	co	1
86	com	2
232	core	1
328	cpu	1
137	detail	2
308	html	1
143	http	2
304	hybrid	1
324	i	1
301	ic	1
297	it	1
255	itlifehack	1
234	jp	1
235	let	1
138	livedoor	2
318	mac	1
224	nec	1
70	news	2
307	nx	1
247	os	1
263	pc	1
245	smartvision	1
258	snote	1
320	ssd	1
322	sx	1
37	t	2
188	thinkpad	1
176	tv	1
211	twitter	1
306	valuestar	1
237	x	1
35	あれこれ	1
130	お祝い	1
105	お願い	1
103	こと	1
139	これ	2
126	ごと	1
83	さ	1
18	さん	1
156	しどろもどろ	1
42	そこ	1
26	それ	1
106	それら	1
162	たくさん	1
22	たち	1
142	ためし	1
11	ちゃん	1
321	つぶやき	1
118	とき	1
192	とも	1
293	どれ	1
244	ならでは	1
114	の	2
107	みたい	1
112	もの	1
15	やり方	1
150	よう	2
5	ん	1
225	インク	1
66	インターネット	1
314	インテル	1
260	エプソン	1
277	エンターテイメント	1
201	カートリッジ	1
239	クチコミ	1
89	コミュニティ	1
84	サイト	1
9	サプライズ	1
158	サプライズスピーチ	1
191	シリーズ	1
229	ジャストシステム	1
75	ジューン	1
2	スピーチ	1
323	スマート	1
174	セキュリティ	1
281	セット	1
178	ソフト	1
10	タイプ	2
240	チェック	1
242	テレビ	1
262	デジタル	1
261	デスク	1
189	トップ	1
222	トップクラス	1
32	ネット	1
310	ネットワーク	1
183	ノート	1
259	ハイブリッド	1
204	バック	1
327	パソコン	1
296	パワフル	1
182	パワーアップ	1
230	フォン	1
207	フラッシュ	1
56	フランク	1
108	ブライド	1
269	プラス	1
16	プロ	1
289	プロセッサ	1
175	ホーム	1
305	ポイント	1
120	メッセージ	1
92	メリット	1
163	モデル	1
294	ヤモリ	1
243	ユーザー	1
102	リハーサル	1
165	レッツ	1
278	レビュー	1
0	一	1
127	一人暮らし	1
257	一挙	1
111	一番	1
1	一言	1
95	万	1
252	上	1
149	上手	1
34	不安	2
284	不満	1
3	中	2
128	主役	1
290	主要	1
6	事前	1
30	人	1
151	人前	1
312	人気	1
147	人選	1
90	他	1
124	代表	1
110	以上	1
285	以下	1
40	以外	1
159	件	1
63	位	1
68	何	1
140	何分	1
160	作成	1
215	使用	1
31	例文	1
238	個人	1
82	内容	1
210	円	1
101	出席	1
170	出荷	1
251	初期	1
164	利用	1
146	前	1
227	割	1
169	力	1
231	効果	1
167	化	1
113	危険	1
60	参考	1
7	友人	1
133	司会	1
168	同社	1
219	向け	1
286	商品	1
33	回数	1
180	国内	1
123	基本	1
131	場合	1
208	多く	1
135	大	2
29	大丈夫	1
53	大切	1
12	失敗	1
157	女	1
64	嫌	1
62	嫌悪	1
299	安心	1
134	対応	2
316	導入	1
194	工場	1
270	年	1
39	幸	1
94	幸恵	1
104	式	2
326	強化	1
51	形式	1
81	影	1
129	後	1
288	快適	1
48	性	1
313	性能	1
144	悩み	1
74	惠	1
122	感じ	1
43	感想	1
19	手紙	1
206	手続き	1
24	投稿	1
28	担当	1
221	拠点	1
27	指名	1
132	掲載	1
268	提案	1
274	搭載	1
88	文	1
116	新婦	1
161	新郎	1
276	方	1
20	方法	2
199	日	1
241	旧型	1
246	旧式	1
302	春	1
4	昨年	1
153	晩	1
58	暗記	1
46	曰く	1
203	更新	1
44	書き方	1
98	最中	1
226	最新	1
67	最近	1
250	月	1
187	有料	1
256	期待	1
148	本当	1
117	本音	1
57	検索	1
271	業界	1
220	機能	1
216	次	1
73	歳	1
300	毎年	1
71	活用	1
119	添削	1
115	準備	1
311	無料	1
14	無理	1
59	無難	1
155	状態	1
197	状況	1
79	独	1
275	現在	1
181	現行	1
96	用	1
145	由利	1
171	発売	1
209	発表	1
295	登場	1
41	的	1
184	目印	1
17	相談	1
152	確か	1
190	神戸	1
212	祭り	1
325	禁断	1
23	私	1
233	程度	1
61	等	1
205	簡単	1
236	純正	1
223	紹介	1
36	結婚式	1
154	緊張	1
125	者	1
99	自分	1
65	自己	1
291	色	1
121	苦手	1
97	薫	1
317	装着	1
292	製品	1
298	製造	1
265	視聴	1
141	記念	1
196	話題	1
54	誰	1
38	貧乏	1
273	販売	1
280	販売元	1
195	費用	1
166	追加	1
213	連携	1
254	過半数	1
179	録画	1
8	際	1
198	面	1
279	風変わり	1
85	高山	1
214	高速	1
72	６月	1
